PROVINCIA,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,DIA,Hora1,V01,Hora2,V02,Hora3,V03,Hora4,V04,Hora5,V05,Hora6,V06,Hora7,V07,Hora8,V08,Hora9,V09,Hora10,V10,Hora11,V11,Hora12,V12,Hora13,V13,Hora14,V14,Hora15,V15,Hora16,V16,Hora17,V17,Hora18,V18,Hora19,V19,Hora20,V20,Hora21,V21,Hora22,V22,Hora23,V23,Hora24,V24
28,4,7,28079004_7_8,2019,04,04,00002,V,00001,V,00001,V,00001,V,00001,V,00001,V,00002,V,00049,V,00023,V,00022,V,00018,V,00030,V,00020,V,00009,V,00007,V,00005,V,00004,V,00006,V,00006,V,00007,V,00005,V,00003,V,00002,V,00004,V
28,4,7,28079004_7_8,2019,04,05,00005,V,00006,V,00001,V,00001,V,00001,V,00001,V,00003,V,00006,V,00014,V,00011,V,00012,V,00020,V,00010,V,00009,V,00006,V,00007,V,00005,V,00006,V,00006,V,00004,V,00005,V,00006,V,00013,V,00005,V
28,4,7,28079004_7_8,2019,04,06,00004,V,00006,V,00003,V,00002,V,00002,V,00001,V,00002,V,00002,V,00005,V,00006,V,00007,V,00007,V,00011,V,00006,V,00005,V,00005,V,00004,V,00004,V,00004,V,00007,V,00007,V,00006,V,00003,V,00005,V
28,4,7,28079004_7_8,2019,04,07,00006,V,00006,V,00004,V,00003,V,00001,V,00001,V,00001,V,00002,V,00003,V,00003,V,00003,V,00005,V,00005,V,00004,V,00005,V,00003,V,00004,V,00011,V,00005,V,00003,V,00004,V,00002,V,00006,V,00002,V
28,4,7,28079004_7_8,2019,04,08,00003,V,00003,V,00002,V,00001,V,00001,V,00001,V,00002,V,00007,V,00008,V,00007,V,00017,V,00020,V,00012,V,00006,V,00005,V,00005,V,00005,V,00005,V,00004,V,00005,V,00007,V,00004,V,00005,V,00002,V
28,4,7,28079004_7_8,2019,04,09,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00002,V,00003,V,00009,V,00008,V,00010,V,00009,V,00009,V,00007,V,00005,V,00007,V,00009,V,00013,V,00009,V,00008,V,00004,V,00004,V,00003,V,00002,V
28,4,7,28079004_7_8,2019,04,10,00002,V,00001,V,00002,V,00001,V,00001,V,00001,V,00003,V,00006,V,00009,V,00010,V,00013,V,00023,V,00014,V,00014,V,00012,V,00012,V,00027,V,00010,V,00020,V,00007,V,00008,V,00008,V,00010,V,00022,V
28,4,7,28079004_7_8,2019,04,11,00005,V,00003,V,00001,V,00001,V,00001,V,00002,V,00025,V,00069,V,00191,V,00123,V,00057,V,00029,V,00014,V,00014,V,00005,V,00010,V,00009,V,00012,V,00011,V,00009,V,00010,V,00008,V,00009,V,00006,V
28,4,7,28079004_7_8,2019,04,12,00004,V,00007,V,00005,V,00013,V,00016,V,00013,V,00039,V,00062,V,00231,V,00166,V,00046,V,00033,V,00019,V,00014,V,00011,V,00008,V,00007,V,00008,V,00010,V,00009,V,00011,V,00017,V,00009,V,00019,V
28,4,7,28079004_7_8,2019,04,13,00025,V,00027,V,00025,V,00035,V,00017,V,00005,V,00009,V,00027,V,00046,V,00089,V,00075,V,00013,V,00009,V,00006,V,00005,V,00007,V,00004,V,00003,V,00003,V,00003,V,00004,V,00005,V,00009,V,00003,V
28,4,7,28079004_7_8,2019,04,14,00001,V,00006,V,00001,V,00002,V,00001,V,00001,V,00002,V,00026,V,00011,V,00016,V,00018,V,00012,V,00008,V,00004,V,00004,V,00004,V,00004,V,00003,V,00006,V,00004,V,00004,V,00003,V,00004,V,00004,V
